PID	Status	Label
-	0	com.SMI-Inc.InstantViewHelper
-	0	com.apple.SafariHistoryServiceAgent
-	-9	com.apple.progressd
-	0	com.apple.enhancedloggingd
860	0	com.macpaw.CleanMyMac4.HealthMonitor
-	-9	com.apple.cloudphotod
-	-9	com.apple.MENotificationService
676	0	com.apple.Finder
67892	-9	com.apple.homed
82355	-9	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
-	0	us.zoom.updater
799	0	com.apple.mediaremoteagent
705	0	com.apple.FontWorker
8214	-9	com.apple.bird
-	0	com.apple.amp.mediasharingd
-	-9	com.apple.knowledgeconstructiond
-	-9	com.apple.managedcorespotlightd.9D5660E1-84AE-9278-03DB-0273D5382237
17323	-9	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
65021	0	application.com.apple.Preview.1152921500311898404.1152921500311898409
52191	0	com.apple.GameController.gamecontrolleragentd
1144	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
759	0	com.apple.nsurlsessiond
-	-9	com.apple.devicecheckd
869	0	com.macpaw.CleanMyMac4.Menu
966	0	application.com.google.drivefs.530119829.530119840
-	0	com.apple.syncservices.uihandler
46930	-9	com.apple.iconservices.iconservicesagent
-	-9	com.apple.diagnosticextensionsd
-	-9	com.apple.intelligenceplatformd
81572	-9	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
-	0	com.apple.LinkedNotesUIService
-	-9	com.apple.ndoagent
682	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
23841	0	application.com.apple.Terminal.1152921500311914148.1152921500311914153
940	0	application.edu.kit.bwsyncandshare.30133791.536847279
875	0	com.haystacksoftware.ArqMonitor
45372	-9	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
51668	-9	com.apple.commerce
4931	0	application.com.apple.MobileSMS.1152921500311888381.1152921500311888451
942	0	application.com.ds9soft.PopDo.205782892.205783171
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
877	0	com.bjango.istatmenus.agent
-	0	com.apple.appleaccounttransparencyd
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
18703	-9	com.apple.ManagedSettingsAgent
20886	-9	com.apple.photolibraryd
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
-	-9	com.apple.ThreadCommissionerService
35605	-9	com.apple.tipsd
-	-9	com.apple.stickersd
19019	-9	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
889	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	0	com.apple.assistant_service
964	0	application.com.pilotmoon.popclip.514264781.514264788
94391	0	com.microsoft.teams2.agent
-	0	com.apple.MRTa
17510	-9	com.apple.CommCenter
675	0	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
52172	0	com.apple.mdworker.shared.04000000-0000-0000-0000-000000000000
-	0	com.apple.appkit.xpc.ColorSampler
631	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
1440	0	com.apple.CoreDevice.remotepairingd
-	-9	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	-9	com.apple.facetimemessagestored
-	0	com.apple.AutoFillPanel
1954	-9	com.apple.peopled
-	0	com.apple.remotecompositorclientd
-	0	com.apple.PosterBoard
44890	-9	com.apple.replicatord
17995	-9	com.apple.keyboardservicesd
-	-9	com.apple.accessibility.axassetsd
70707	0	application.pro.affine.app.517112705.517112889
46098	-9	com.apple.quicklook.ThumbnailsAgent
-	-9	com.apple.Safari.PasswordBreachAgent
-	0	com.apple.csuseragent
-	0	com.apple.asktod
657	0	com.apple.WindowManager.agent
822	0	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
52205	0	com.apple.accessibility.AXVisualSupportAgent
-	-9	com.apple.xpc.loginitemregisterd
-	-9	com.apple.webprivacyd
87040	-9	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
-	0	com.apple.uarppersonalizationd
-	0	com.apple.screensharing.menuextra
-	0	com.apple.warmd_agent
-	0	com.ollama.ollama
-	-9	com.apple.voicebankingd
-	0	com.apple.gamesaved
-	0	com.apple.universalaccesscontrol
20707	-9	com.apple.Safari.SafeBrowsing.Service
-	-9	com.apple.notes.exchangenotesd
-	0	com.apple.findmymacmessenger
-	0	com.apple.FilesystemUI
-	0	com.apple.maps.destinationd
7898	-9	com.apple.ScreenTimeAgent
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.arkitd
-	0	com.apple.systemprofiler
23624	0	application.com.surteesstudios.Bartender.551840312.551840323
6663	0	application.com.kaunteya.quicknote.551753489.551753992
-	-9	com.apple.homeenergyd
711	0	com.apple.cloudd
-	-9	com.apple.noticeboard.agent
7045	0	com.apple.UserNotificationCenterAgent
742	0	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
886	0	com.bjango.istatmenus.status
-	0	com.apple.ATS.FontValidator
888	0	com.apple.diagnostics_agent
-	0	com.apple.appleseed.seedusaged
18220	-9	com.apple.LocalAuthentication.UIAgent
-	-9	com.apple.ap.adprivacyd
-	0	com.apple.callhistoryd
-	-9	com.apple.ap.promotedcontentd
-	-9	com.apple.apfsuseragent
-	-9	com.apple.intelligencetasksd
63405	-9	com.apple.networkserviceproxy
672	0	com.apple.controlcenter
22877	-9	com.apple.contacts.postersyncd
-	0	com.apple.AMPLibraryAgent
41315	0	com.openssh.ssh-agent
-	0	com.wireguard.macos.login-item-helper
-	-9	com.apple.amsondevicestoraged
-	-9	com.apple.tonelibraryd
-	-9	com.apple.CloudPhotosConfiguration
-	0	com.apple.security.KeychainStasher
-	-9	com.apple.ctcategories.service
-	0	com.apple.CoreSimulator.SimLaunchHost-x86
17641	-9	com.apple.ctkd
52189	0	com.apple.mdworker.shared.0C000000-0700-0000-0000-000000000000
-	0	com.apple.package-script-service
17614	-9	com.apple.secinitd
-	0	com.apple.speech.speechsynthesisd.x86_64
-	0	com.apple.mediacontinuityd
45516	-9	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
86903	-9	com.apple.synapse.contentlinkingd
-	0	com.macpaw.CleanMyMac5.Updater
21314	0	com.microsoft.update.agent
-	-9	com.apple.XprotectFramework.PluginService
-	0	com.apple.ctkbind
-	0	com.apple.mediastream.mstreamd
-	0	com.apple.alf.useragent
-	0	com.apple.SiriTTSTrainingAgent
-	-9	com.apple.triald
694	0	com.apple.tccd
-	0	com.apple.nexusd
60516	-9	com.apple.StatusKitAgent
-	0	com.apple.diagnosticspushd
18475	-9	com.apple.replayd
17735	-9	com.apple.coreservices.uiagent
7852	-9	com.apple.icloud.searchpartyuseragent
-	-9	com.apple.AccessibilityVisualsAgent
997	0	application.com.spotify.client.549742686.549743341
17646	1	com.apple.Siri.agent
-	0	com.apple.installd.user
-	-9	com.apple.privatecloudcomputed
17760	-9	com.apple.textunderstandingd
17890	-9	com.apple.liveactivitiesd
780	0	com.apple.akd
-	-9	com.apple.CallHistoryPluginHelper
-	-9	com.apple.jetpackassetd
-	-9	com.apple.homeeventsd
81637	-15	com.apple.Passwords.MenuBarExtra
32292	-9	com.apple.GamePolicyAgent
-	0	com.apple.mbproximityhelper
-	-9	com.apple.appplaceholdersyncd
-	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
652	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
-	0	com.apple.searchtoold
17824	-9	com.apple.printtool.agent
-	-9	com.apple.callintelligenced
-	-9	com.apple.askpermissiond
51156	0	com.microsoft.VSCode.ShipIt
-	0	com.apple.ssinvitationagent
12664	0	com.apple.webinspectord
34407	0	application.com.microsoft.Word.551261601.551332070
-	-9	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
-	-9	com.apple.FeatureAccessAgent
36133	0	com.apple.storeuid
-	-9	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
1253	0	application.com.electron.ollama.551136485.551136491.47B49926-A8D1-42AD-8B6D-37701331B5E5
917	0	com.apple.CryptoTokenKit.ahp.agent
-	-9	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
50711	0	com.apple.remindd
-	0	com.apple.appsleep
-	0	edu.kit.bwsyncandshare
-	0	com.microsoft.SyncReporter
791	0	com.apple.duetexpertd
768	0	com.apple.coreservices.useractivityd
96647	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
721	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
51683	0	com.apple.mdworker.shared.10000000-0700-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent_x86_64
663	0	com.apple.lsd
20712	-9	com.apple.siri.context.service
-	-9	com.apple.fskit.fskit_agent
17601	-9	com.apple.pluginkit.pkd
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
-	-9	com.apple.webkit.webpushd
-	-9	com.apple.weatherd
-	-9	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
700	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
1327	0	com.apple.CallHistorySyncHelper
-	-9	com.apple.colorsync.useragent
52201	-9	com.apple.analyticsagent
906	0	application.com.microsoft.Powerpoint.550972114.551081916
18172	-9	com.apple.appleaccountd
20561	-9	com.apple.parsecd
-	-9	com.apple.mlruntimed
671	0	com.apple.Dock.agent
